k,f0,orbitale,noeuds,Rc,Rtop,Rdyn,ReN,H,D,bande,regime,n_fenetres,masse_sous_plancher
5,6.5177727254e-04,4p,2,1.7545079492e+02,1.0000000000e+00,1.0000000000e+00,3.5080837332e-01,7.6145853650e-01,4.6400105152e-01,E1,Cosmologique,6,2.9046924417e-01
5,6.5177727254e-04,4d,1,1.1862885495e+02,1.0000000000e+00,1.0000000000e+00,5.1943328756e-01,7.6473128031e-01,4.6140344719e-01,E1,Cosmologique,6,5.9869657955e-02
5,6.5177727254e-04,4f,0,6.1613180545e+01,1.0000000000e+00,1.0000000000e+00,1.0366218104e+00,7.6503135016e-01,4.8215044517e-01,E1,Méso,6,2.1578883626e-01
6,6.9053396600e-04,1s,0,1.0494032012e+00,1.0000000000e+00,1.0000000000e+00,2.1554017365e+01,7.2592074189e-01,6.0902998413e-01,E1,Quantique,6,8.9941963424e-02
6,6.9053396600e-04,2s,1,7.8197932338e+01,1.0000000000e+00,1.0000000000e+00,1.2817692976e+00,7.2254646998e-01,5.6929766260e-01,E1,Méso,6,2.0196566199e-01
6,6.9053396600e-04,2p,0,5.8883581703e+01,1.0000000000e+00,1.0000000000e+00,1.7989473858e+00,7.2042912654e-01,5.7310461340e-01,E1,Méso,6,3.2798115060e-01
6,6.9053396600e-04,3s,2,9.4796231058e+01,1.0000000000e+00,1.0000000000e+00,8.4046805921e-01,7.2412096695e-01,5.3261132265e-01,E1,Cosmologique,6,2.8933328321e-01
6,6.9053396600e-04,3p,1,7.2090498778e+01,1.0000000000e+00,1.0000000000e+00,1.0369545584e+00,7.2275943749e-01,5.3819048870e-01,E1,Méso,6,3.1531617227e-01
6,6.9053396600e-04,3d,0,6.3979802813e+01,1.0000000000e+00,1.0000000000e+00,1.1841074451e+00,7.2364905259e-01,5.4241113759e-01,E1,Méso,6,3.6161684959e-02
6,6.9053396600e-04,4s,3,1.6704599627e+02,1.0000000000e+00,1.0000000000e+00,4.4505029631e-01,7.2105969082e-01,5.1171732777e-01,E1,Cosmologique,6,3.0386478446e-01
6,6.9053396600e-04,4p,2,1.6732416320e+02,1.0000000000e+00,1.0000000000e+00,4.4552084074e-01,7.1978252442e-01,5.2684666022e-01,E1,Cosmologique,6,2.9046924417e-01
6,6.9053396600e-04,4d,1,1.1281294607e+02,1.0000000000e+00,1.0000000000e+00,6.5552411990e-01,7.2316540527e-01,5.2473509882e-01,E1,Cosmologique,6,5.9869657955e-02
6,6.9053396600e-04,4f,0,5.8757552223e+01,1.0000000000e+00,1.0000000000e+00,1.3121369339e+00,7.2274013625e-01,5.4839870548e-01,E1,Méso,6,2.1578883626e-01
7,7.3159525238e-04,1s,0,9.8653116924e-01,1.0000000000e+00,1.0000000000e+00,2.6348427995e+01,6.8564204962e-01,6.6120178403e-01,E1,Quantique,6,8.9941963424e-02
7,7.3159525238e-04,2s,1,7.4119910586e+01,1.0000000000e+00,1.0000000000e+00,1.5897558765e+00,6.7796370935e-01,6.2962429480e-01,E1,Méso,6,2.0196566199e-01
7,7.3159525238e-04,2p,0,5.5774697284e+01,1.0000000000e+00,1.0000000000e+00,2.2291529668e+00,6.7756016901e-01,6.3283699095e-01,E1,Méso,6,3.2798115060e-01
7,7.3159525238e-04,3s,2,8.9854772910e+01,1.0000000000e+00,1.0000000000e+00,1.0478806402e+00,6.8297790884e-01,5.9247103017e-01,E1,Méso,6,2.8933328321e-01
7,7.3159525238e-04,3p,1,6.8287329684e+01,1.0000000000e+00,1.0000000000e+00,1.2897074725e+00,6.8002048912e-01,6.0122867742e-01,E1,Méso,6,3.1531617227e-01
7,7.3159525238e-04,3d,0,6.0781703355e+01,1.0000000000e+00,1.0000000000e+00,1.4793445314e+00,6.8128033218e-01,6.0426973627e-01,E1,Méso,6,3.6161684959e-02
7,7.3159525238e-04,4s,3,1.5858715909e+02,1.0000000000e+00,1.0000000000e+00,5.5650112306e-01,6.8033399729e-01,5.7249874147e-01,E1,Cosmologique,6,3.0386478446e-01
7,7.3159525238e-04,4p,2,1.5885743408e+02,1.0000000000e+00,1.0000000000e+00,5.5675233183e-01,6.7901128835e-01,5.8654172047e-01,E1,Cosmologique,6,2.9046924417e-01
7,7.3159525238e-04,4d,1,1.0682817282e+02,1.0000000000e+00,1.0000000000e+00,8.1688324887e-01,6.8224919355e-01,5.8463146161e-01,E1,Cosmologique,6,5.9869657955e-02
7,7.3159525238e-04,4f,0,5.5776295368e+01,1.0000000000e+00,1.0000000000e+00,1.6350936307e+00,6.7939924301e-01,6.1186700422e-01,E1,Méso,6,2.1578883626e-01
8,7.7509816991e-04,1s,0,9.2288236303e-01,1.0000000000e+00,1.0000000000e+00,3.2056996041e+01,6.4558528267e-01,7.0873791746e-01,E1,Quantique,6,8.9941963424e-02
8,7.7509816991e-04,2s,1,6.9878877326e+01,1.0000000000e+00,1.0000000000e+00,1.9534220843e+00,6.3636132544e-01,6.8466621689e-01,E1,Méso,6,2.0196566199e-01
8,7.7509816991e-04,2p,0,5.2548934426e+01,1.0000000000e+00,1.0000000000e+00,2.7376316103e+00,6.3596661881e-01,6.8732171586e-01,E1,Méso,6,3.2798115060e-01
8,7.7509816991e-04,3s,2,8.4732082283e+01,1.0000000000e+00,1.0000000000e+00,1.2912253090e+00,6.4380263940e-01,6.5057208889e-01,E1,Méso,6,2.8933328321e-01
8,7.7509816991e-04,3p,1,6.4360447784e+01,1.0000000000e+00,1.0000000000e+00,1.5869864077e+00,6.3973584998e-01,6.5957081319e-01,E1,Méso,6,3.1531617227e-01
8,7.7509816991e-04,3d,0,5.7433349326e+01,1.0000000000e+00,1.0000000000e+00,1.8253959218e+00,6.4081620609e-01,6.6237206960e-01,E1,Méso,6,3.6161684959e-02
8,7.7509816991e-04,4s,3,1.4978811991e+02,1.0000000000e+00,1.0000000000e+00,6.8725413994e-01,6.4341389614e-01,6.3078760462e-01,E1,Cosmologique,6,3.0386478446e-01
8,7.7509816991e-04,4p,2,1.5003042352e+02,1.0000000000e+00,1.0000000000e+00,6.8711829000e-01,6.4146650417e-01,6.4342404164e-01,E1,Cosmologique,6,2.9046924417e-01
8,7.7509816991e-04,4d,1,1.0066451753e+02,1.0000000000e+00,1.0000000000e+00,1.0067831839e+00,6.4297363601e-01,6.4436954167e-01,E1,Méso,6,5.9869657955e-02
8,7.7509816991e-04,4f,0,5.2661956413e+01,1.0000000000e+00,1.0000000000e+00,2.0142893028e+00,6.3805165127e-01,6.6995733162e-01,E1,Méso,6,2.1578883626e-01
9,8.2118790552e-04,1s,0,8.5841105788e-01,1.0000000000e+00,1.0000000000e+00,3.8907692220e+01,6.0397122818e-01,7.4981011807e-01,E1,Quantique,6,8.9941963424e-02
9,8.2118790552e-04,2s,1,6.5465162392e+01,1.0000000000e+00,1.0000000000e+00,2.3900483088e+00,5.9367345128e-01,7.3206269087e-01,E1,Méso,6,2.0196566199e-01
9,8.2118790552e-04,2p,0,4.9199360999e+01,1.0000000000e+00,1.0000000000e+00,3.3484350248e+00,5.9331597671e-01,7.3424413477e-01,E1,Méso,6,3.2798115060e-01
9,8.2118790552e-04,3s,2,7.9417407114e+01,1.0000000000e+00,1.0000000000e+00,1.5823166281e+00,6.0307063290e-01,7.0135204897e-01,E1,Méso,6,2.8933328321e-01
9,8.2118790552e-04,3p,1,6.0302514295e+01,1.0000000000e+00,1.0000000000e+00,1.9432235415e+00,5.9799470225e-01,7.1021315871e-01,E1,Méso,6,3.1531617227e-01
9,8.2118790552e-04,3d,0,5.3925822003e+01,1.0000000000e+00,1.0000000000e+00,2.2394534426e+00,5.9891203712e-01,7.1273558023e-01,E1,Méso,6,3.6161684959e-02
9,8.2118790552e-04,4s,3,1.4062868192e+02,1.0000000000e+00,1.0000000000e+00,8.4410361038e-01,6.0455909450e-01,6.8263640453e-01,E1,Cosmologique,6,3.0386478446e-01
9,8.2118790552e-04,4p,2,1.4082174648e+02,1.0000000000e+00,1.0000000000e+00,8.4317235792e-01,6.0212007670e-01,6.9383197446e-01,E1,Cosmologique,6,2.9046924417e-01
9,8.2118790552e-04,4d,1,9.4311366322e+01,1.0000000000e+00,1.0000000000e+00,1.2349953448e+00,6.0121648984e-01,6.9772782436e-01,E1,Méso,6,5.9869657955e-02
9,8.2118790552e-04,4f,0,4.9406638231e+01,1.0000000000e+00,1.0000000000e+00,2.4682609779e+00,5.9540146113e-01,7.1999911842e-01,E1,Méso,6,2.1578883626e-01
10,8.7001827943e-04,1s,0,7.9306866580e-01,1.0000000000e+00,1.0000000000e+00,4.7092178329e+01,5.6343965655e-01,7.8394597256e-01,E1,Quantique,6,8.9941963424e-02
10,8.7001827943e-04,2s,1,6.0868513442e+01,1.0000000000e+00,1.0000000000e+00,2.9167954222e+00,5.5160428616e-01,7.7170803901e-01,E1,Méso,6,2.0196566199e-01
10,8.7001827943e-04,2p,0,4.5718627119e+01,1.0000000000e+00,1.0000000000e+00,4.0852643777e+00,5.5133423363e-01,7.7347202309e-01,E1,Méso,6,3.2798115060e-01
10,8.7001827943e-04,3s,2,7.3899348332e+01,1.0000000000e+00,1.0000000000e+00,1.9335284313e+00,5.6205837364e-01,7.4474348234e-01,E1,Méso,6,2.8933328321e-01
10,8.7001827943e-04,3p,1,5.6105748575e+01,1.0000000000e+00,1.0000000000e+00,2.3738197530e+00,5.5620753772e-01,7.5313601981e-01,E1,Méso,6,3.1531617227e-01
10,8.7001827943e-04,3d,0,5.0249667380e+01,1.0000000000e+00,1.0000000000e+00,2.7398767033e+00,5.5692390892e-01,7.5545965265e-01,E1,Méso,6,3.6161684959e-02
10,8.7001827943e-04,4s,3,1.3108743718e+02,1.0000000000e+00,1.0000000000e+00,1.0346412005e+00,5.6472318197e-01,7.2786790223e-01,E1,Méso,6,3.0386478446e-01
10,8.7001827943e-04,4p,2,1.3120873430e+02,1.0000000000e+00,1.0000000000e+00,1.0320292586e+00,5.6205295372e-01,7.3755134989e-01,E1,Méso,6,2.9046924417e-01
10,8.7001827943e-04,4d,1,8.7757467004e+01,1.0000000000e+00,1.0000000000e+00,1.5122797049e+00,5.5911760836e-01,7.4296008356e-01,E1,Méso,6,5.9869657955e-02
10,8.7001827943e-04,4f,0,4.6001969019e+01,1.0000000000e+00,1.0000000000e+00,3.0163844482e+00,5.5326008874e-01,7.6175654910e-01,E1,Méso,6,2.1578883626e-01
11,9.2175225848e-04,1s,0,7.2680370428e-01,1.0000000000e+00,1.0000000000e+00,5.6638037651e+01,5.2820672779e-01,8.1040664362e-01,E1,Quantique,6,8.9941963424e-02
11,9.2175225848e-04,2s,1,5.6078068220e+01,1.0000000000e+00,1.0000000000e+00,3.5448908412e+00,5.1279884429e-01,8.0329659762e-01,E1,Méso,6,2.0196566199e-01
11,9.2175225848e-04,2p,0,4.2098945640e+01,1.0000000000e+00,1.0000000000e+00,4.9630757597e+00,5.1270069765e-01,8.0466806962e-01,E1,Méso,6,3.2798115060e-01
11,9.2175225848e-04,3s,2,6.8165828742e+01,1.0000000000e+00,1.0000000000e+00,2.3549647465e+00,5.2282654733e-01,7.8058513369e-01,E1,Méso,6,2.8933328321e-01
11,9.2175225848e-04,3p,1,5.1761907102e+01,1.0000000000e+00,1.0000000000e+00,2.8923684807e+00,5.1661068771e-01,7.8819617914e-01,E1,Méso,6,3.1531617227e-01
11,9.2175225848e-04,3d,0,4.6394869092e+01,1.0000000000e+00,1.0000000000e+00,3.3429507358e+00,5.1662505662e-01,7.9087164388e-01,E1,Méso,6,3.6161684959e-02
11,9.2175225848e-04,4s,3,1.2114170432e+02,1.0000000000e+00,1.0000000000e+00,1.2669678418e+00,5.2556761499e-01,7.6629277309e-01,E1,Méso,6,3.0386478446e-01
11,9.2175225848e-04,4p,2,1.2116736991e+02,1.0000000000e+00,1.0000000000e+00,1.2604520322e+00,5.2309982360e-01,7.7432662813e-01,E1,Méso,6,2.9046924417e-01
11,9.2175225848e-04,4d,1,8.0990898008e+01,1.0000000000e+00,1.0000000000e+00,1.8497514759e+00,5.1870705515e-01,7.8020296776e-01,E1,Méso,6,5.9869657955e-02
11,9.2175225848e-04,4f,0,4.2439078968e+01,1.0000000000e+00,1.0000000000e+00,3.6745961226e+00,5.1395555901e-01,7.9531717544e-01,E1,Méso,6,2.1578883626e-01
12,9.7656250000e-04,1s,0,6.5956155027e-01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,5.0165522596e-01,8.2786415772e-01,E1,Cosmologique,6,8.9941963424e-02
12,9.7656250000e-04,2s,1,5.1082314643e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.8118412460e-01,8.2601894969e-01,E1,Cosmologique,6,2.0196566199e-01
12,9.7656250000e-04,2p,0,3.8332063334e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.8139427217e-01,8.2698402508e-01,E1,Cosmologique,6,3.2798115060e-01
12,9.7656250000e-04,3s,2,6.2204048812e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.8845897739e-01,8.0836320107e-01,E1,Cosmologique,6,2.8933328321e-01
12,9.7656250000e-04,3p,1,4.7262253173e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.8253738081e-01,8.1485218030e-01,E1,Cosmologique,6,3.1531617227e-01
12,9.7656250000e-04,3d,0,4.2350812464e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.8210422583e-01,8.1757633812e-01,E1,Cosmologique,6,3.6161684959e-02
12,9.7656250000e-04,4s,3,1.1076744770e+02,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.8962731772e-01,7.9748248931e-01,E1,Cosmologique,6,3.0386478446e-01
12,9.7656250000e-04,4p,2,1.1067220157e+02,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.8805234832e-01,8.0362346386e-01,E1,Cosmologique,6,2.9046924417e-01
12,9.7656250000e-04,4d,1,7.3999024947e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.8283774650e-01,8.0934482723e-01,E1,Cosmologique,6,5.9869657955e-02
12,9.7656250000e-04,4f,0,3.8708568051e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.8087856285e-01,8.2028422859e-01,E1,Cosmologique,6,2.1578883626e-01
13,1.0346319281e-03,1s,0,5.9128430638e-01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.9009647322e-01,8.3383319374e-01,E1,Cosmologique,6,7.0301728954e-01
13,1.0346319281e-03,2s,1,4.5869054782e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.6263306883e-01,8.3808365499e-01,E1,Cosmologique,6,7.4620043410e-01
13,1.0346319281e-03,2p,0,3.4409235195e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.6335476639e-01,8.3857355606e-01,E1,Cosmologique,6,7.8440072857e-01
13,1.0346319281e-03,3s,2,5.6000446514e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.6367473680e-01,8.2687776880e-01,E1,Cosmologique,6,7.5479902014e-01
13,1.0346319281e-03,3p,1,4.2597529578e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.5906045047e-01,8.3178909188e-01,E1,Cosmologique,6,7.8530389585e-01
13,1.0346319281e-03,3d,0,3.8106250736e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.5861339454e-01,8.3426954061e-01,E1,Cosmologique,6,7.3749977381e-01
13,1.0346319281e-03,4s,3,9.9939200591e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.6086146944e-01,8.2052361017e-01,E1,Cosmologique,6,7.5617106307e-01
13,1.0346319281e-03,4p,2,9.9696261917e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.6123748550e-01,8.2434637624e-01,E1,Cosmologique,6,7.7868329819e-01
13,1.0346319281e-03,4d,1,6.6768460845e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.5637954450e-01,8.2929676680e-01,E1,Cosmologique,6,7.3359894667e-01
13,1.0346319281e-03,4f,0,3.4800476361e+01,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,4.5945384339e-01,8.3514221022e-01,E1,Cosmologique,6,7.8770916420e-01
